Course ID,Course Name,Description,Terms Offered,Equivalent Courses,Instructors,Prerequisites
REES 23706,The Soviet Union.  100 Units.,"This lecture course surveys the making and unmaking of the Soviet Union as a society, culture, economy, superpower, and empire from 1917 to 1991. The Soviet Union began as an unprecedented radical experiment in remaking society and economy, ethnic and gender relations, personal identities, even human nature, but in the course of its history, it came to resemble other (capitalist) societies, sharing, in turn, their violence, welfare provisions, and consumerism. The story of this transformation-from being unique and exhilarating to being much like everyone else, only poorer and more drab-will be at the center of our exploration. The main themes of the course include social and cultural revolutions; ideology and the role of Marxism; political violence from the birth of the socialist state to the end of the Stalin terror; origins, practices, aesthetics, legacies, and critiques of Stalinism; law, dissent, and human rights; nationality policies and the role of ethnic minorities; the economy of shortages and the material culture it created; institutions of daily life (communal apartments, courtyards, peasant markets, dachas, and boiler rooms); socialist realism and the Soviet dreamworld.",Spring,HIST 23706,E. Gilburd,None
REES 24220,Anxious Spaces.  100 Units.,"This course explores built (architectural), filmic, and narrative spaces that disturb our bearings, un-situate us, and defy neurotypical cognition. In the sense that ""angst"" is a mode that can be understood as both stalling and generative, we analyze spaces and representations of spaces such as corridors, attics, basements, canals, viaducts, labyrinths, forests, ruins, etc., spaces that are 'felt' as estranging, foreboding, in short, anxiety-provoking, in order to understand why-despite or because these topoi are hostile-they are produced, reproduced, and craved. We will pay special attention to abject spaces of racial and sexual exclusivity, sites of spoliation, and of memory and erasure. Among our primary texts are films by Kubrick, Tarkovksy, and Antonioni, and Chytilová, short fiction by Borges, Kafka, Nabokov, and selections from the philosophical/theoretical writings of Bachelard, Deleuze & Guattari, Debord, Foucault, Kracauer, and the edited volume, Mapping Desire, Geographies of Sexuality.",Winter,"GNSE 24220, GNSE 34220, ARCH 24220, REES 34220",Malynne Sternstein,None
REES 24402,Introduction to Russian and Soviet Cinema.  100 Units.,"What is the relationship between film, myth, ideology, and revolution? What are the features of Soviet comedy? What could it mean for a film to be ""poetic"" and how is this idea understood by and manifest in the work of directors like Andrei Tarkovsky and Alexander Sokurov? These are only some of the many questions we will explore as we engage in a survey of Russian-language cinema from its very beginnings (in the 1890s) to the present, engaging with representative texts and cinematic works from each of Russian cinema's primary periods (early Russian, avant-garde revolutionary, socialist realist, thaw, stagnation, and post-Soviet).",Spring,CMST 22402,David Molina,None
REES 24404,Theater in East and Central Europe: Between Power and Powerlessness.  100 Units.,"National independence movements, revolutions, authoritarian regimes, and the decline of empire: playwrights in East and Central Europe wrote major works of world literature in response to these events - and sometimes in prescient anticipation of them. This seminar introduces students to the plays that, from Chekhov to Havel, shaped the fates of nations. Topics include: the avant-garde, theater of the absurd, acting methods, performance art, and documentary theater.",Spring,"TAPS 35214, REES 34404, CMLT 26040, TAPS 25214",Ania Aizman,None
REES 24425,Invasion Culture: Russia Through its Wars.  100 Units.,"A look at contemporary culture through Russia's invasions, from the Soviet invasion of Afghanistan in 1979 to the invasion of Ukraine in 2022. Broadly, this course explores how war determines cultural life. How do the policies and tactics of war, and the art and literature of wartime, convey ideas about power and the state, traditional vs. modern values, civilizational mission vs. cultural pluralism? Beyond Russian literature and film, we consider voices from Afghanistan, the Caucasus, Chechnya, Syria, Belarus, and Ukraine, asking, How are Russia's wars fought in the domain of culture?",Autumn,"CMLT 24425, REES 34425",Ania Aizman,None
REES 25005,History of International Cinema II: Sound Era to 1960.  100 Units.,"The center of this course is film style, from the classical scene breakdown to the introduction of deep focus, stylistic experimentation, and technical innovation (sound, wide screen, location shooting). The development of a film culture is also discussed. Texts include Thompson and Bordwell's Film History: An Introduction; and works by Bazin, Belton, Sitney, and Godard. Screenings include films by Hitchcock, Welles, Rossellini, Bresson, Ozu, Antonioni, and Renoir.",Winter,"MAPH 33700, ARTH 38600, ENGL 48900, CMST 48600, REES 45005, CMST 28600, ENGL 29600, ARTH 28600, ARTV 20003, MAAD 18600, CMLT 32500, CMLT 22500",James Lastra,None
REES 25604,Russian Media at War.  100 Units.,"In this course we will form a collective to follow and respond to Russian media coverage of the war in Ukraine and its larger context. We will consider the impact of tightened control over journalistic free speech and the increasingly top-down control of representations of Russia's role in the region, with a primary focus on Ukraine. We will analyze the main narratives that have been used to justify the actions of the Russian state, and the methods that have been used to undermine counternarratives. While we will find tools of analysis through background reading in theory, we will spend most of our time looking at current media content coming out of Russia, Ukraine, and their neighboring countries, with some attention also to American and other western sources. Russian, Ukrainian, and other language skills will be highly useful, but are not required.",Spring,"KNOW 25604, REES 35604, KNOW 35604",William Nickell,None
REES 26011,Introduction to Russian Civilization I.  100 Units.,"The first quarter covers the ninth century to the 1870s; the second quarter continues on through the post-Soviet period. Working closely with a variety of primary sources-from oral legends to film and music, from political treatises to literary masterpieces-we will track the evolution of Russian civilization over the centuries and through radically different political regimes. Topics to be discussed include the influence of Byzantine, Mongol-Tataric, and Western culture in Russian civilization; forces of change and continuity in political, intellectual and cultural life; the relationship between center and periphery; systems of social and political legitimization; and symbols and practices of collective identity.",Autumn,"HIST 13900, SOSC 24000",Staff,None
REES 26012,Introduction to Russian Civilization II.  100 Units.,"The second quarter continues on through the post-Soviet period. Working closely with a variety of primary sources-from oral legends to film and music, from political treatises to literary masterpieces-we will track the evolution of Russian civilization over the centuries and through radically different political regimes. Topics to be discussed include the influence of Byzantine, Mongol-Tataric, and Western culture in Russian civilization; forces of change and continuity in political, intellectual and cultural life; the relationship between center and periphery; systems of social and political legitimization; and symbols and practices of collective identity.",Winter,"SOSC 24100, HIST 14000",E. Gilburd & Staff,None
REES 26015,Introduction to Russian Civilization III.  100 Units.,"When taken following Introduction to Russian Civilization I and II, Introduction to Russian Civilization III meets the general education requirement in Humanities, Civilization Studies, and the Arts. The course is thematic and will vary from year to year. 
Spring 24 theme: This course tracks how the radical anti-government philosophy of anarchism influenced major cultural figures and texts as well as revolutionary movements in the Russian Empire, Soviet Union, and post-Soviet Russia. Against the authoritarianism associated with Russia, anarchism provided an enticing (or terrifying!) political alternative--particularly for writers, artists and revolutionaries. We read texts by Dostoevsky, Tolstoy and others, look at major works of art influenced by anarchist ideas, and learn about grassroots movements in the Russian Revolutions, Civil War, Soviet cultural underground and, eventually, Perestroika. We follow waves of immigration the United States and Europe and observe how governments across the world shaped their policies on immigration and free speech in response to the menace of anarchists and other revolutionaries from Eastern Europe. Finally, we look at how contemporary art and social movements today explore radical politics. Assignment options will include creative projects and student-led research.",Spring,"SOSC 24200, HIST 14100",A. Aizman,None
REES 26038,Russophonia: Contemporary Poetry Beyond Borders.  100 Units.,"Like anglophone and francophone literatures, russophone culture has long been produced beyond Russia's borders. The collapse of the Soviet Union both shrunk and scattered Russia's cultural influence, transforming the contours of ""russophonia-land."" Studying the development of poetry written in Russian both within and outside of Russia, we read anthologies of Russian poems from Kyiv, Minsk, Petersburg, Fergana, Alma-Aty, Tel Aviv, and New York. We consider: revolutionary exchange networks, colonization, immigration, translation, and other dynamics that drive linguistic spread. Students undertake presentations and research on writers of their choice.",TBD,REES 36038,Ania Aizman,None
REES 26040,Between Power and Powerlessness: Theater in East and Central Europe.  100 Units.,"National independence movements, revolutions, authoritarian regimes, and the decline of empire: playwrights in East and Central Europe wrote major works of world literature in response to these events - and sometimes in prescient anticipation of them. This seminar introduces students to the plays that, from Chekhov to Havel, shaped the fates of nations. Topics include: the avant-garde, theater of the absurd, acting methods, performance art, and documentary theater.",Spring,"TAPS 35215, REES 36040, TAPS 25215",Ania Aizman,None
REES 26072,The Roots of War: Historical and Cultural Causes of Russian Aggression in Ukraine.  100 Units.,"Since the beginning of Russia's war on Ukraine, Vladimir Putin and his entourage have created false historical constructions that serve as the basis for their aggressive policy. The main question of this course is: to what extent is Putin's retro-policy historically grounded, traditional and natural? An analysis of the rhetoric and historiosophy of the modern Russian elite will reveal the sources they been drawn upon. Is there a connection between Muscovite Russia, the Russian Empire and modern Russian neo-imperialism? What role does the legacy of the USSR play in the political system, state structure and foreign policy of the modern Russian Federation? Where do historical trends, national interests and the new imperial ideology coincide and contradict each other? We will also discuss the modern history of opposition to Putin's authoritarianism and trace the history and cultural significance of democratic institutions in Russia. Finally, we will use the history of Ukrainian statehood and the processes of formation of the Ukrainian nation to shed alternative perspective on recent Russian views of Ukraine.","Spring
Winter",REES 36072,Sergei Shokarev,None
REES 26074,The Cinema of Andrei Tarkovsky.  100 Units.,"Filmmaker Andrei Tarkovsky (1932-1986) is widely considered to be one of Soviet cinema's great auteurs, a fiercely independent creative artist and thinker. Known for his long takes, visual imagery, intertextuality, and philosophical self-reflectiveness, Tarkovsky has profoundly shaped the evolution of modern art cinema over the past fifty years and his legacy is still very much alive in both the Slavic world and the west. In this course, we will study Tarkovsky's major films focusing particularly on their aesthetic characteristics, spiritual and philosophical dimensions, and cultural and political context.",Spring,"CMST 26074, CMST 36074, REES 36074",David Molina,None
REES 26077,Russian Modernist Theater.  100 Units.,"Russian Modernist Theater explores the theory and practice of the new stage forms developed in Russia from 1900 to 1940. The course begins with the Stanislavsky school, and then delves deeply into the more experimental work of Meyerhold and his generation and the first attempts to create a revolutionary Soviet theater in the 1920s. The course will include a production, which will be scaled to the number and ambitions of the enrolled students. Course requirements can be met through the writing of a conventional paper, or through the production, via set or costume design, dramaturgy, performance, or staging. Each of these production assignments will require a write-up relating the work to the course materials and discussions.",TBD,REES 36077,William Nickell,None
REES 27007,Mapping Our Selves: Identity and Subjectivity.  100 Units.,"This course examines how different collective and individual selves develop, change, and get mobilized in modern Eastern and Central Europe. As Enlightenment, post-Enlightenment, and national ideas spread across Europe, the understanding of self and subjectivity was fundamentally transformed. In Eastern and Central Europe, themselves terms that have their roots in these changes, this occurred at a tumultuous time of changes of borders, countries, and forms of government. This course focuses primarily on cultures and literatures in Poland's different forms of existence and non-existence, a locus central to these dynamics. We will ask such questions as: What does it mean to develop a sense of a nation without a territorial state or within an empire? What kind of subject do different works of art elicit and why? Under what circumstances does identity become a more engaging understanding of the self? What are its borders and porousness? We will be reading a variety of literary, artistic, and theoretical works from the 18th to 21st centuries, among them Immanuel Kant on Enlightenment subjectivity, Voltaire and Jean-Jacques Rousseau on the form and future of Poland, Karl Marx on base and superstructure, and Louis Althusser on the dynamics of getting drawn into a society and economic system (interpellation); as well as Polish authors probing these issues and tensions, such as Witkacy, Eliza Orzeszkowa, Andrzej Stasiuk, Debora Vogel, and Stanisław Brzozowski.",Winter,REES 37007,Dag Lindskog,None
REES 27019,Holocaust Object.  100 Units.,"In this course, we explore various ontological and representational modes of the Holocaust material object world as it was represented during World War II. Then, we interrogate the post-Holocaust artifacts and material remnants, as they are displayed, curated, controlled, and narrated in the memorial sites and museums of former ghettos and extermination and concentration camps. These sites which-once the locations of genocide-are now places of remembrance, the (post)human, and material remnants also serve educational purposes. Therefore, we study the ways in which this material world, ranging from infrastructure to detritus, has been subjected to two, often conflicting, tasks of representation and preservation, which we view through a prism of authenticity. In order to study representation, we critically engage a textual and visual reading of museum narrations and fiction writings; to tackle the demands of preservation, we apply a neo-materialist approach. Of special interest are survivors' testimonies as appended to the artifacts they donated. The course will also equip you with salient critical tools for future creative research in Holocaust studies.",TBD,"ANTH 35035, HIST 33413, ARCH 27019, JWSC 29500, ANTH 23910, HIST 23413, REES 37019",Bozena Shallcross,None
REES 27025,The Cracks of Being: Polish Modernist Literature.  100 Units.,"The Cracks of Being: Polish Modernist Literature. The 19th and early 20th centuries were characterized by radical changes: trains, cameras, telephones, industrialization, democracy. Moreover, objectivity appeared to be undermined by our unconscious, making for an increased doubt and suspicion toward being. ""All that is solid melts into air,"" Karl Marx wrote, and many would-be truths seemed to unmoor. On the other hand, modern life came with a sense of alienation and disenchantment in our increasingly mediated experience. Straddling this chasm, modernist literature has used many different strategies to make literary modern existence; and these are the focus of this course. Some authors try to salvage form, others attempt to mimic this instability, or represent the impossibility of representation. Our authors look for liminalities, epiphanies, cracks and nooks of being and language, in order to sound out, defamiliarize and re-present reality. The authors we will read include Bolesław Leśmian, Stanisław Ignacy Witkiewicz, Zofia Nałkowska, Bruno Schulz, Czesław Miłosz, and Witold Gombrowicz.",Spring,REES 37025,Sasha Lindskog,None
REES 27026,Kieslowski:  The Decalogue.  100 Units.,"In this class, we study the monumental series ""The Decalogue"" by one of the most influential filmmakers from Poland, Krzysztof Kieślowski. Without mechanically relating the films to the Ten Commandments, Kieślowski explores the relevance of the biblical moral rules to the state of modern man forced to make ethical choices. Each part of the series contests the absolutism of moral axioms through narrative twists and reversals in a wide, universalized sphere. An analysis of the films will be accompanied by readings from Kieślowski's own writings and interviews, including criticism by Zizek, Insdorf, and others.",Autumn,"CMST 36705, CMST 26705, REES 37026, FNDL 24003",Bozena Shallcross,None
REES 27032,"Bodies, Objects, Cognition.  100 Units.","This course explores the differences between objects and embodiment as examined in varied historical periods and artistic genres. We will probe the ontological indeterminacy of embodied beings versus machines in terms of agency, autonomy, subjectivity, and artificiality. Our main operative mode is a visual-verbal comparison and its perception. Through discussions of such visual strategies as pareidolia, abstraction, bodyscape, as well as the scientific phenomena of cloning and humanoid robotics, the course will destabilize once fundamental epistemologies to present a cognitive moment when the traditionally stable object-body dichotomy is understood anew as a dynamic site of affective, biological, representational, and mechanical relations. Visual artists, writers and critics studied will include Leonardo da Vinci, Hans Holbein, Giuseppe Arcimboldo, Wassily Kandinsky, Kazimir Malevich, Tadeusz Borowski, Stanislaw Lem, Allan Teger, Magdalena Abakanowicz, W.T.J. Mitchell and others. All readings are in English.",Winter,"REES 37032, ARTH 27032, ARTH 37032, ANTH 27032, KNOW 37032, ANTH 37032, KNOW 27032",Bozena Shallcross,None
REES 27035,"Gender, Agency, and Power in 19th C Russian Literature.  100 Units.","This course focuses on scandalous provocations and quieter acts of resistance against normative gender expectations in 19th-century Russian literature. We read narratives of rebellion by individuals and collective actions by groups of women, and consider the surprising agency attributed to women's cooperative work in Russian literature as well as the heavy burdens placed on women by family, state, and church. Readings include primarily short fiction in a variety of genres (sentimental, romantic, realist, and gothic) by canonized male writers and by women writers of the 19th Century who are less often taught and translated, but were widely read in their own day. These works expand our understanding of the narrative possibilities for sexuality and gendered subjectivity in the Russian literary sphere, and of the ways in which possibility itself was made and remade by literary expression. The course also introduces students to methods of literary analysis informed by critical theories of gender, and asks how Russian literary and cultural history may offer new ways of thinking about gendered bodies, performance, and interrelations in the 19th Century and today.",Winter,"GNSE 20118, REES 37035",Anne Eakin Moss,None
REES 27203,"Žižek, The Sublime Object of Ideology.  100 Units.",tbd,Winter,FNDL 27203,M. Sternstein,None
REES 28007,Bringing up the Novel in Bohemia.  100 Units.,TBD,Not specified,"CMLT 22001, FNDL 22203",N/A,None
REES 28800,Politics and Cinema under Authority.  100 Units.,"Why do authoritarian regimes take interest in art and culture? How do citizens respond to these efforts? Between authoritarian propaganda and outright contestation of authoritarianism is a wide niche of art and media production that is just independent enough to capture the attention of the citizens and yet subtle enough to not alarm authoritarian rulers. This is relevant for film and television in particular, which cannot function under authoritarian regimes without official approval. In this course, we explore the compromises filmmakers make to continue their creative practice and the concessions state actors grant to accommodate artistic work using the 10-episode television series, Dekalog (1988), by the acclaimed Polish director Krzysztof Kieślowski. To answer our questions, we draw on literature and methodology from political science and film and media studies. We investigate what is to be gained by combining approaches from two disciplines that are rarely in conversation with each other.",Autumn,"CMST 38800, PLSC 38801, CDIN 28801, CMST 28805, REES 38800, PLSC 28805, CDIN 38800",Maria Belodubrovskaya and Monika Nalepa,None
REES 28914,New Directions in Slavic Studies.  100 Units.,"This seminar examines the recent major works of scholarship in Slavic, East European, and Eurasian Studies, taking stock of the current state of the field. It introduces the interdisciplinary research methods (e.g. historical, anthropological, digital studies, etc.) that have driven new developments in SEES.",Winter,REES 38914,Ania Aizman,None
REES 29009,Balkan Folklore.  100 Units.,"Vampires, fire-breathing dragons, vengeful mountain nymphs. 7/8 and other uneven dance beats, heart-rending laments, and a living epic tradition. This course is an overview of Balkan folklore from historical, political, and anthropological perspectives. We seek to understand folk tradition as a dynamic process and consider the function of different folklore genres in the imagining and maintenance of community and the socialization of the individual. We also experience this living tradition firsthand through visits of a Chicago-based folk dance ensemble, ""Balkan Dance.""",Spring,"NEHC 30568, ANTH 35908, CMLT 33301, NEHC 20568, ANTH 25908, CMLT 23301, REES 39009",Angelina Ilieva,None
REES 29010,Strangers to Ourselves: Emigre Literature and Film from Russia and Southeast Europe.  100 Units.,"Being alienated from myself, as painful as that may be, provides me with that exquisite distance within which perverse pleasure begins, as well as the possibility of my imagining and thinking,"" writes Julia Kristeva in ""Strangers to Ourselves,"" the book from which this course takes its title. The authors whose works we are going to examine often alternate between nostalgia and the exhilaration of being set free into the breathless possibilities of new lives. Leaving home does not simply mean movement in space. Separated from the sensory boundaries that defined their old selves, immigrants inhabit a warped, fragmentary, disjointed time. Immigrant writers struggle for breath-speech, language, voice, the very stuff of their craft resounds somewhere else. Join us as we explore the pain, the struggle, the failure, and the triumph of emigration and exile. Vladimir Nabokov, Joseph Brodsky, Marina Tsvetaeva, Nina Berberova, Julia Kristeva, Alexander Hemon, Dubravka Ugrešić, Norman Manea, Miroslav Penkov, Ilija Trojanow, Tea Obreht.",Autumn,"CMLT 36912, REES 39010, CMLT 26912",A. Ilieva,None
REES 29013,The Burden of History: A Nation and Its Lost Paradise.  100 Units.,"What makes it possible for the imagined communities called nations to command the emotional attachments that they do?  This course considers some possible answers to Benedict Anderson's question on the basis of material from the Balkans. We will examine the transformation of the scenario of paradise, loss, and redemption into a template for a national identity narrative through which South East European nations retell their Ottoman past.  With the help of Žižek's theory of the subject as constituted by trauma and Kant's notion of the sublime, we will contemplate the national fixation on the trauma of loss and the dynamic between victimhood and sublimity.",Autumn,"HIST 34005, CMLT 33401, NEHC 20573, HIST 24005, NEHC 30573, CMLT 23401, REES 39013",Angelina Ilieva,None
REES 29021,The Shadows of Living Things: The Writings of Mikhail Bulgakov.  100 Units.,"What would your good do if evil did not exist, and what would the earth look like if all the shadows disappeared? After all, shadows are cast by things and people…. Do you want to strip the earth of all the trees and living things just because of your fantasy of enjoying naked light?"" asks the Devil. Mikhail Bulgakov worked on his novel The Master and Margarita throughout most of his writing career, in Stalin's Moscow. Bulgakov destroyed his manuscript, re-created it from memory, and reworked it feverishly even as his body was failing him in his battle with death. The result is an intense contemplation on the nature of good and evil, on the role of art and the ethical duty of the artist, but also a dazzling world of magic, witches, and romantic love, and an irresistible seduction into the comedic. Laughter, as shadow and light, as the subversive weapon but also as power's whip, grounds human relation to both good and evil. Brief excursions to other texts that help us better understand Master and Margarita.",Winter,"FNDL 29020, REES 39021",Angelina Ilieva,None
REES 29023,Returning the Gaze:  The West and the Rest.  100 Units.,"Aware of being observed. And judged. Inferior... Abject… Angry... Proud… This course provides insight into identity dynamics between the ""West,"" as the center of economic power and self-proclaimed normative humanity, and the ""Rest,"" as the poor, backward, volatile periphery. We investigate the relationship between South East European self-representations and the imagined Western gaze. Inherent in the act of looking at oneself through the eyes of another is the privileging of that other's standard. We will contemplate the responses to this existential position of identifying symbolically with a normative site outside of oneself-self-consciousness, defiance, arrogance, self-exoticization-and consider how these responses have been incorporated in the texture of the national, gender, and social identities in the region. Orhan Pamuk, Ivo Andrić, Nikos Kazantzakis, Aleko Konstantinov, Emir Kusturica, Milcho Manchevski.",Winter,"HIST 33609, REES 39023, CMLT 29023, NEHC 39023, CMLT 39023, NEHC 29023, HIST 23609",Angelina Ilieva,None
REES 29024,States of Surveillance.  100 Units.,"What does it feel to be watched and listened to all the time? Literary and cinematic works give us a glimpse into the experience of living under surveillance and explore the human effects of surveillance - the fraying of intimacy, fracturing sense of self, testing the limits of what it means to be human.  Works from the former Soviet Union (Solzhenitsyn, Abram Tertz, Andrey Zvyagintsev), former Yugoslavia (Ivo Andrić, Danilo Kiš, Dušan Kovačević), Romania (Norman Manea, Cristian Mungiu), Bulgaria (Valeri Petrov), and Albania (Ismail Kadare).",Autumn,"CMLT 39024, CMLT 29024, REES 39024",Angelina Ilieva,None
REES 29026,"Loyalties, Friendships, Loves.  100 Units.","The Eastern European experience of surveillance under the police state is most often associated with the sense of betrayal, the invasion of the innermost spaces of intimacy and individual consciousness by the secret all-seeing eye. What is often overlooked, however, is the obverse side of fear - the fierce code of loyalty, the tenacity of friendship and love nurtured in the interstices of surveillance and resistance. How are love and friendship understood in such circumstances? Are they experienced in the same way as we understand them? This class will explore these emotional cultural scripts through an array of East, Central, South-East European literary and cinematic works.",Spring,"CMLT 29026, REES 39026",Angelina Ilieva,None
REES 29035,Empathetic Sorrows: Recent Bulgarian Literature.  100 Units.,"What does it feel to write from ""the saddest place in the world""? In 2010, The Economist published an article entitled ""The Rich, the Poor, and Bulgaria,"" in which Bulgaria bucked the paradigm of predicted correlation between income and happiness. ""The saddest place in the world, relative to its income per person,"" the Economist reported, ""is Bulgaria."" Storytelling invites us to step outside ourselves and inhabit someone else's way of relating to the world. This course will explore the gentle, melancholic empathy with which Bulgarian post-socialist literature seeks otherness in the (no longer heroic) past and the (even less heroic) present.",TBD,REES 39035,Angelina Ilieva,None
REES 29045,Dostoevsky and Critical Theory.  100 Units.,"The tormented, obsessed, and sadistic characters of Dostoevsky's novels posed a challenge to positivism and reason too scandalous and compelling to be ignored. The novels inspired some of the most brilliant and influential thinkers of the nineteenth and twentieth centuries in the fields of religion, philosophy, psychology and literary theory. We will read two of Dostoevsky's philosophically challenging novels alongside works by these critics and philosophers, including Nietzsche, Sartre, Freud, Bakhtin, Kristeva, and Levinas. While exploring their ideas about faith and unbelief, madness and reason, violence and torture, society and history, we will also inquire into the relationships among literature, philosophy and biography and examine the processes of influence and adaptation.",Winter,"CMLT 39045, REES 39045, CMLT 29045, RLST 28207",Anne Eakin Moss,None
REES 29071,Magic Nations.  100 Units.,"As part of the post-colonial turn, magic realism is a hybrid mode of narration rejects, overcomes, and offers an alternative to the colonial, Enlightenment episteme.  It mobilizes the imaginations and narrative modes of pre-colonial pasts in the articulation of new, post-colonial, often national, selves. In this course, we will unpack some captivating narratives from Southeast Europe in which the visions of the pre-modern mythic worlds emerge as the magic, transcendent core of the modern nations. We will indulge in the sheer enjoyment of the brilliance of these text while focusing on the paradoxes they embody - for example, the simultaneous rejection and reliance on the realist mode, the colonial worldview, and its civilizational hierarchies and models.",Winter,"CMLT 29071, REES 39071",Angelina Ilieva,None
REES 29700,Reading/Research:  Russian and Eastern European Studies.  100 Units.,"This is an independent study course which is arranged, planned, and managed by a supervising professor in conjunction with the goals that are proposed by the student, and then refined and approved by the supervising professor. This course involves more student self-discipline and a greater sense of direction than do most courses - the student must be willing to plan and execute his/her activities with much less monitoring and without prompting by fellow classmates.   The student and the professor discuss and propose goals, topics, and projects.","Autumn
Spring
Winter",None,Staff,None
REES 29701,Reading/Research: Russian and Eastern European Studies II.  100 Units.,"This is the second part of an independent study course which is arranged, planned, and managed by a supervising professor in conjunction with the goals that are proposed by the student, and then refined and approved by the supervising professor. This course involves more student self-discipline and a greater sense of direction than do most courses--the student must be willing to plan and execute his/her activities with much less monitoring and without prompting by fellow classmates. The student and the professor discuss and propose goals, topics, and projects.","Autumn
Spring
Winter",None,Staff,None
REES 29702,Reading/Research: Russian and Eastern European Studies III.  100 Units.,"This is the third part of an independent study course which is arranged, planned, and managed by a supervising professor in conjunction with the goals that are proposed by the student, and then refined and approved by the supervising professor. This course involves more student self-discipline and a greater sense of direction than do most courses - the student must be willing to plan and execute his/her activities with much less monitoring and without prompting by fellow classmates.   The student and the professor discuss and propose goals, topics, and projects.","Autumn
Spring
Winter",None,Staff,Consent of instructor.
REES 29900,BA Paper Workshop.  100 Units.,"Students pursuing honors must write an acceptable BA paper in their final year under the supervision of a faculty member in the Department of Slavic Languages and Literatures.  At the latest by the Autumn Quarter, students should begin the BA process by consulting with the director of undergraduate studies.  Students may register for the BA Paper seminar (REES 29900 BA Paper Workshop) with the approval of the BA supervisor.  This course will confer general College elective credit, but it will not count toward the major.  If the completed bachelor's paper is judged by the supervisor and a second faculty member to be a distinguished example of original research or criticism, the student is recommended to the College for graduation with honors in Russian and East European Studies.  The final decision regarding the granting of any degree with honors rests with the Collegiate divisional master.","Autumn
Spring
Winter",None,Staff,None
REES 29902,The Time of Death.  100 Units.,"This course is designed to meet the specific needs of a student in the College, an advanced learner of Serbian language and culture, double majoring in Economics and REES. The curriculum of this one-quarter class focuses on the literary work of 20th-century Serbian writer Borislav Pekić. Through a close reading of his first novel, The Time of Miracles (1965), we plan to uncover not only Pekić's notable artistic skills, but also the variety of his linguistic devices- ranging from highly ornate imitations of biblical diction to expressions bordering on urban slang-adjusted to depict the historical and cultural context of his era. In the novel the Christian myth becomes a vehicle for exposing the moral hypocrisy, cruelty, and futility of modern myths, especially those built around the Communists' ideal of their own ""promised land."" The inevitable flatness of allegorical presentation is always counterbalanced by an enormous vividness of realistic detail, while implied irony makes this somber book surprisingly light-thus it showcases hallmarks of Pekić's unique style.",Winter,None,Nada Petkovic,None
SCPD 11100,Science Communication: Writing a Digital Science Story.  100 Units.,"Students will gain skills in written and digital communication, focusing on translating primary scientific research to a general audience. Students will learn what makes an engaging written article and how to write for the public without sacrificing scientific accuracy or complexity. We will explore platforms such as newspapers, magazines, blogs and social media.  Students will work with faculty mentors to complete two written pieces that communicate research findings and their significance to a general audience. Student articles may be disseminated on the websites of the Illinois Science Council, Marine Biology Laboratory, the Institute for Translational Medicine, or the National Institutes of Health. Students will walk away with a polished, published work.",Autumn,"BIOS 28101, PHSC 28101",S. Serritella,None
SCPD 11200,Science Communication: Producing a Science Video Story.  100 Units.,"Students will gain skills in oral communication and will apply these skills to produce a TED Talk-style video communicating primary research in a scientific area of the student's choice. The goal is effective, engaging communication of science to a general audience without sacrificing scientific accuracy or complexity.  Students will work with faculty to write scripts and design visual and audio elements. The talks will be filmed and edited in collaboration with UChicago Creative, who will assist with visual aids and animation. Students will leave the course with a professionally produced video that they can use to advance their career and promote their topic. While this course naturally follows BIOS 28101, that course is not a pre-requisite.",Spring,"BIOS 28102, PHSC 28102",S. Serritella,None
SCPD 11300,Science Communication: Crafting a Science Think Piece.  100 Units.,"Science think pieces are an important genre of public writing. Think pieces are longform journalism typically ranging between 2,000 and 5,000 words that appear in print and online publications. Readers of all kinds turn to science think pieces to understand critical issues in STEM fields and get a big picture perspective. Science think pieces provide deep context, informed perspective, and expert synthesis of the most recent data and findings. They have the power to shape public opinion and influence science policy. This course guides students through the process of conceiving, developing, pitching, writing, and potentially publishing an engaging and persuasive science think piece. Through reading-inspired group discussions and instructor-led writing projects, the course introduces students to current theories and best practices of science communication as well as everyday processes in science journalism and public-facing science writing. Students will finish the course with a polished science think piece ready for submission to potential venues for publication. No prior knowledge of science communication is required.","Autumn
Spring
Winter",PHSC 28104,Jordan Bimm,None
SCPD 11400,Science Communication: Producing a Science Podcast.  100 Units.,"Podcasts are one of the most popular ways for non-experts to learn about science and for working scientists to follow happenings in other fields. Podcasts are audio productions typically ranging between 20 and 45 minutes. Science podcasts provide context, perspective, and synthesis to diverse audiences. They have the power to highlight recent findings, surface the everyday aspects of scientific research practices, amplify diverse voices in the sciences, and combat misinformation. This course prepares students to create science content in audio formats through practical studio experience. It provides a platform for science storytelling, an introduction to science communication theory, and covers science journalism best practices. Emphasis will be placed on crafting compelling audio stories, interviewing techniques, narration, sourcing audio clips and samples, editing, accessibility, and creating show notes and supporting materials. Students will finish the course with a polished science podcast episode ready for publishing. No prior knowledge of science communication is required.","Spring
Winter",None,Jordan Bimm,None
